Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
9/17/1937,Louisiana Tech,27,Oklahoma City,6,W,"Ruston, LA",LA,,,,,,33
9/25/1937,Louisiana Tech,0,Ole Miss,13,L,"Oxford, MS",MS,,,,,,13
10/2/1937,Louisiana Tech,0,Illinois Wesleyan,2,L,"Ruston, LA",LA,,,,,,2
10/8/1937,Louisiana Tech,7,Millsaps College,0,W,"Ruston, LA",LA,,,,,,7
10/15/1937,Louisiana Tech,7,Southern Miss,0,W,"Ruston, LA",LA,,,,,,7
10/23/1937,Louisiana Tech,14,Northwestern State,0,W,"Shreveport, LA",LA,,,,,,14
11/6/1937,Louisiana Tech,26,Tampa,13,W,"Tampa, FL",FL,,,,,,39
11/12/1937,Louisiana Tech,0,UL-Lafayette,0,T,"Ruston, LA",LA,,,,,,0
11/20/1937,Louisiana Tech,12,Louisiana College,13,L,"Pineville, LA",LA,,,,,,25
11/25/1937,Louisiana Tech,20,South Dakota,6,W,"Ruston, LA",LA,,,,,,26
12/4/1937,Louisiana Tech,6,Centenary,7,L,"Ruston, LA",LA,,,,,,13
9/17/1938,Louisiana Tech,13,Mississippi College,26,L,"Ruston, LA",LA,,,,,,39
9/23/1938,Louisiana Tech,19,Millsaps College,7,W,"Ruston, LA",LA,,,,,,26
10/1/1938,Louisiana Tech,7,Ole Miss,27,L,"Oxford, MS",MS,,,,,,34
10/8/1938,Louisiana Tech,0,Mississippi State,48,L,"Starkville, MS",MS,,,,,,48
10/22/1938,Louisiana Tech,6,Northwestern State,7,L,"Shreveport, LA",LA,,,,,,13
10/28/1938,Louisiana Tech,6,Oklahoma City,7,L,"Oklahoma City, OK",OK,,,,,,13
11/4/1938,Louisiana Tech,7,UL-Lafayette,27,L,Lafayette. LA,LA,,,,,,34
11/11/1938,Louisiana Tech,7,Louisiana College,0,W,"Ruston, LA",LA,,,,,,7
11/19/1938,Louisiana Tech,26,Cornell College,0,W,"Ruston, LA",LA,,,,,,26
11/22/1938,Louisiana Tech,7,Centenary,14,L,"Shreveport, LA",LA,,,,,,21
12/3/1938,Louisiana Tech,0,Southeastern Louisiana,0,T,"Ruston, LA",LA,,,,,,0
9/16/1939,Louisiana Tech,32,Arkansas-Monticello,0,W,"Ruston, LA",LA,,,,,,32
9/23/1939,Louisiana Tech,12,Illinois Wesleyan,7,W,"Ruston, LA",LA,,,,,,19
9/29/1939,Louisiana Tech,39,Jacksonville State,0,W,"Ruston, LA",LA,,,,,,39
10/7/1939,Louisiana Tech,7,WKU,20,L,"Bowling Green, KY",KY,,,,,,27
